Screen name,Name,NYT followers,All followers,Following ,Location,Bio
mosisecret,Mosi Secret,168,2978,719,Brooklyn,"Reporter with The New York Times. Send tips to mosi.secret@nytimes.com. Yes, that's my real name."
deanemurphy,Dean E. Murphy,168,2414,294,New York Times,"Business Editor, The New York Times"
nytfood,NYT Food,167,512907,154,"New York, NY","Restaurant reviews, food news, recipes and more from our reporters and editors."
NewYorkObserver,New York Observer,166,162789,68086,New York City,"A sophisticated take on news, culture, politics, luxury. Top stories from http://t.co/xYhMUL3lpy, @Betabeat, @ObserverArts, @ObserverPols, @CommObserver & more."
jacobwe,Jacob Weisberg,166,26539,675,New York,"Jacob Weisberg runs the Slate Group, reads a lot, and writes about politics."
TheDailyShow,The Daily Show,165,3193801,64,,"Jon Stewart and The Best F#@king News Team. Mon-Thurs at 11/10c on @ComedyCentral. Full episodes, videos, guest information. #DailyShow"
JamesFallows,James Fallows,165,62368,674,,"National correspondent, the Atlantic"
nytedgerley,Susan Edgerley,165,5114,676,"New York, New York","Deputy Food Editor of The New York Times, #NYTCooking"
dannyhakim,Danny Hakim,164,6663,1406,,NYT European Economic Correspondent
SarahKSilverman,Sarah Silverman,163,6009072,513,state of Palestine,"We're all just molecules, Cutie."
maddow,Rachel Maddow MSNBC,163,3110058,1856,"New York, NY USA","I see political people...
 
 (Retweets do not imply endorsement.)"
nicoleperlroth,Nicole Perlroth,163,12860,2463,SF | NYC,@nytimes cybersecurity reporter | spies on spies | runs with giraffe
daniellemattoon,Danielle Mattoon,163,3779,831,,New York Times Culture Editor.
alexmaccallum,alex maccallum,163,2024,667,brooklyn,Assistant Managing Editor for Audience Development @nytimes
jimschachter,Jim Schachter,162,10725,569,"New York, NY","Tweeting from New York City's own station, WNYC 93.9FM/AM820, and http://t.co/l1UjBeaWWT, as vp for news."
SangerNYT,David Sanger,160,14951,541,"Washington, DC","National Security Correspondent, The New York Times
 Author of Confront and Conceal: Obama's Secret Wars and Surprising Use of American Power (2012)"
mattfleg,Matt Flegenheimer,160,3535,520,New York,"Reporter, @nytimes. ''Rob Thomas, circa 1998''-@NYTFridge"
davidaxelrod,David Axelrod,159,339697,326,,"Author, Believer: My Forty Years in Politics. http://t.co/3Etx6gsJa4.
 Views expressed here are my own."
daveweigel,daveweigel,159,151846,5672,"Washington, D.C.","Roving reporter for @bpolitics. Finishing a book about progressive rock (W.W. Norton, 2015). daveweigel@gmail.com, 302-507-6806."
JeffreyGoldberg,Jeffrey Goldberg,159,68182,986,"Washington, D.C.","National Correspondent, The Atlantic http://t.co/rEgQTclYQT"
MarkLandler,Mark Landler,159,8339,397,"Washington, DC","White House correspondent, New York Times; weekly columnist, Listening Post"
MichaelPaulson,Michael Paulson,159,8041,1054,"New York, NY","National religion reporter at The New York Times.
 
 Living in New York; missing New England."
vikasbajaj,Vikas Bajaj,158,21990,1162,New York,"I cover business, technology and international economics for the editorial page of @nytimes, Previous: Mumbai bureau chief; markets and housing reporter."
nycscribe,Joe Kahn,158,2561,318,New York,"International Editor, The New York Times"
jaketapper,Jake Tapper,157,381922,3737,,CNN Anchor and Chief Washington Correspondent. Dissecting my tweets with Talmudic meticulousness will result in wrong conclusions. RTs do not = endorsement.
AntDeRosa,Anthony De Rosa,157,82422,5105,"Jersey City, NJ",Editor-In-Chief @Circa / anthony@cir.ca / PGP: https://t.co/VcygWH0KEB
NYTNational,NYT National News,157,55374,327,From Sea to Shining Sea,Breaking news and in-depth reporting from the National Desk of The New York Times.
jennymedina,Jennifer Medina,157,4831,1074,Los Angeles,New York Times national correspondent in LA. Southern California native. Still trying to understand the place. Explanations welcome: jemedina@nytimes.com
jimdwyernyt,Jim Dwyer,157,3686,394,New York,"writer: newspapers mostly, books occasionally"
pvolpe,Paul Volpe,156,3210,1034,"Washington, DC",Deputy Washington Bureau Chief for Digital @nytimes. Moderately useful and sometimes amusing. Rochester with a dash of Carolina.
ConanOBrien,Conan O'Brien,155,14751971,1,Los Angeles,"The voice of the people. Sorry, people."
pourmecoffee,pourmecoffee,155,198534,1247,USA,☕
declanwalsh,Declan Walsh,155,69473,977,"Islamabad, ideally",New York Times Pakistan Bureau Chief.
DylanByers,Dylan Byers,155,34992,2967,"Venice, Calif.","Media Reporter, POLITICO | Phone: 571-269-1882 | Email: dbyers@politico.com | G-Chat: w.dylan.byers | Views are my own. RTs ≠ endorsements."
janinegibson,Janine Gibson,155,24854,1262,London,"editor in chief, http://t.co/rwDLvGkKaP
 janine.gibson@theguardian.com"
PressSec,Josh Earnest,154,564870,519,"Washington, DC","@WhiteHouse Press Secretary, voice of West Wing Week, Kansas City native & life-long Royals fan. Tweets may be archived: http://t.co/KcS2bmEJun."
Awl,The Awl,154,52603,1436,New York City,Be Not Bored!
fernandaNYT,Fernanda Santos,154,9430,483,PHX,"NYT Phoenix bureau chief, on leave as I work on a book about the Granite Mountain Hotshots and one of the deadliest days in American firefighting."
kseelye,Katharine Q. Seelye,154,4257,720,Boston,"New York Times New England bureau chief, based in Boston."
chucktodd,Chuck Todd,153,466715,1442,"Washington, DC","Moderator of @meetthepress and @nbcnews political director; Covering politics since '92; And, yes, I tweet about sports too."
BilldeBlasio,Bill de Blasio,153,166007,635,"New York, NY",Lucky husband of @Chirlane. Proud public school parent. 109th Mayor of New York City.
Choire,Choire,153,24699,1009,ALL THINGS PASS INTO THE NIGHT,"Twitter cyborg—half-human, half-robot. ❇️"
derekwillis,Derek Willis,153,9209,737,MD/DC/NY/online,"Working on The Upshot, mostly Congress and campaign finance. Keeping mold from happening. Also cricket. dwillis@nytimes.com"
nytham,Hamilton Boardman,153,1111,989,New York,"Senior editor, news desk at The New York Times. Retweets are retweets. Ceci n'est pas une pipe."
thegarance,Garance Franke-Ruta,152,39907,5086,"Washington, D.C.","Washington Editor, @YahooNews. Your early warning system. Politics, media, breaking."
Graham_Bowley,Graham Bowley,152,4639,3350,New York,"New York Times reporter, formerly Financial Times & International Herald Tribune. I write about the art world. British, I live in New York. Author, No Way Down"
tanehisicoates,Ta-Nehisi Coates,151,117390,421,Galena,I propose to move immediately upon your works.
rpogrebin,Robin Pogrebin,151,4221,1727,New York City,New York Times reporter covering cultural news for the Arts section.
coreykilgannon,Corey Kilgannon,151,3312,127,"New York, NY",New York Times reporter covering NYC. corey@nytimes.com
Pogue,David Pogue,150,1546633,1759,USA,"Tech columnist, Yahoo; PBS NOVA host; Missing Manuals creator, dad of 3!"
susanorlean,Susan Orlean,150,288822,1308,New York,"Writer, writer, writer. Oh, I also write."
longform,Longform,149,72971,2103,"Brooklyn, NY","The best articles on the web, recommended daily. Also: @LongformApp/@LongformPodcast."
JimBYardley,Jim Yardley,148,6857,493,"Rome, Italy","Rome Bureau Chief for The New York Times. I spent the last decade reporting in China, India and Bangladesh. Author of Brave Dragons."
gabrieldance,gabriel dance,148,5627,2419,brooklyn,"managing editor, covering crime and punishment @MarshallProj. colorado native. likes fishing and dogs. PGP: https://t.co/PVSZiAX9pY"
monicadavey1,Monica Davey,148,4274,824,,"Chicago Bureau Chief, The New York Times"
katephillips,katephillips,148,3684,891,new york,"NYT Bizday editor for retail/food/consumer/labor, etc. Former online politics editor, polling editor. NYC/DC habitats. TV addict."
Duenes,Steve Duenes,148,3530,500,,"Graphics Director, New York Times"
ariannahuff,Arianna Huffington,147,1769489,2597,,"mother, sister, flat shoe advocate, sleep evangelist. author of THRIVE, now in stores http://t.co/5sOtaWZu76"
BorowitzReport,Andy Borowitz,147,524068,34,New York,There is a fine line between social networking and wasting your fucking life.
sree,sree sreenivasan,147,62959,6450,"New York, NY","Chief Digital Officer, @MetMuseum http://t.co/pwTVqrmzp3 • 21yrs @ColumbiaJourn/@Columbia • 15yrs++ @RoopaOnline • PODCAST: http://t.co/WUeoiRfhTo sree@sree.net"
mattbai,Matt Bai,147,16296,628,"Washington, DC",@YahooNews National Political Columnist. Former @NYTMag. Author of ALL THE TRUTH IS OUT: http://t.co/ZTsOxnTFkq
VivianHYee,Vivian Yee,147,3281,1025,"Brooklyn, New York",I write about all things Brooklyn for the @nytimes. Tweet about some other things too. vivian.yee@nytimes.com
andersoncooper,Anderson Cooper,146,5565207,194,New York,"Personal tweets by Anderson Cooper. Anchor of @AC360, weeknights at 8p/ET on CNN and correspondent for @60Minutes on CBS"
nxthompson,Nicholas Thompson,146,35022,1102,New York,Editor of New Yorker .com. Co-founder of The Atavist.
DavidGrann,David Grann,146,31269,1121,"New York, NY",Staff Writer @NewYorker. Author The Lost City of Z and The Devil and Sherlock Holmes
DVNJr,Don Van Natta Jr.,146,31143,1335,Miami,"Senior Writer for @ESPN & @ESPNMag. NYT Bestselling Author of First Off the Tee, Her Way & Wonder Girl. Curator of The Sunday Long Read. Bourbon sipper."
thomaskaplan,Thomas Kaplan,146,10175,889,New York,"Albany reporter for The New York Times, writing about New York State government and politics. Email: thomas.kaplan@nytimes.com."
susanchira,Susan Chira,146,751,275,,
WIRED,WIRED,145,4027505,184,San Francisco/New York,WIRED is where tomorrow is realized.
CharlesMBlow,Charles M. Blow,145,124406,1189,Brooklyn,@NYTimes Op-Ed columnist. Author of #FireShutUpInMyBones Order: http://t.co/ziVBOxWZBY Bookings: http://t.co/cP9EpY0bGg
StevenErlanger,Steven Erlanger,145,7865,477,London,"London bureau chief, New York Times"
caraNYT,Cara Buckley,145,4103,988,New York City,@nytimes culture reporter; newly minted 'Bagger covering Hollywood awards season and related hijinks
brainpicker,Maria Popova,144,532888,292,"Brooklyn, NY",Reader/writer. Founder of @brainpickings. MIT Fellow.
TheFix,Chris Cillizza,144,242348,2021,"Washington, D.C.","WaPo's Chris Cillizza. Editor of The Fix. MSNBC political contributor. Mark it 8, Dude."
Gothamist,Gothamist,144,223389,543,"New York, NY",Gothamist is a website about New York City and everything that happens in it.
NYTLive,New York Times Live,144,94914,2,"New York, NY",In-depth Twitter curation of major news stories by New York Times editors.
tnyCloseRead,Amy Davidson,144,33116,487,New York City,I'm a staff writer at The New Yorker magazine. I also edit newyorker. com's Daily Comment.
PostBaron,Marty Baron,144,11897,502,"Washington, D.C.","Executive Editor, The Washington Post"
darlin,Damon Darlin ✒️,144,7931,1153,Washington,Editor at The New York Times's policy/politics/economics site: The Upshot.
jackhealyNYT,jack healy,144,4108,536,,"Once in Baghdad, now Rocky Mountain correspondent for The New York Times. Total sucker for one adopted Iraqi kitten. Write: jack.healy@nytimes.com."
CNN,CNN,143,15857522,1064,,It’s our job to #GoThere and tell the most difficult stories. Come with us!
AmbassadorPower,Samantha Power,143,138874,343,"New York, NY","United States Ambassador to the United Nations, mother, human rights defender, teacher, writer, and member of #RedSoxNation."
jeremyzilar,Jeremy Zilar,143,5005,1636,"NYC: 40.660719,-73.962894",Starting something new. Formerly Editorial and Design Strategy at @nytimes. Married to @oubliette. jeremyzilar@gmail.com
parisreview,The Paris Review,142,434535,2691,"New York, NY",Quarterly literary magazine founded in 1953.
Revkin,Andy Revkin,142,64968,6260,"Hudson Valley, NY, USA","Pursuing progress on a finite planet at @dotearth and http://t.co/GOThNWJMOv The rest? Family, friends, songs: http://t.co/pobRQ1oXrA http://t.co/tZ7LcelagO"
jonathanweisman,Jonathan Weisman,142,24420,797,"Washington, DC","Economic policy reporter, The New York Times"
dianabhenriques,Diana B. Henriques,142,6185,1001,New York CIty,Author of bestseller 'The Wizard of Lies: Bernie Madoff and the Death of Trust' and 'The White Sharks of Wall Street'. Contributing writer @NYTimes.
jessemckinley,Jesse McKinley,142,2827,1185,"Albany, NY","Jesse is a reporter for the NY Times, based in Albany, after stints in SF, culture and features. Jemcki@nytimes.com. 212-556-4181"
KBAndersen,Kurt Andersen,141,34077,500,New York City,"My novel True Believers (http://t.co/0CVQhFZMcV) is now out in paperback. I also wrote Heyday and Turn of the Century, and host @Studio360show."
NYTMinusContext,NYT Minus Context,140,53054,925,,All Tweets Verbatim From New York Times content. Not Affiliated with the New York Times. Follow @NYTPlusContext for context. NYTMinusContext@gmail.com
jonathanchait,Jonathan Chait,140,49495,244,"Washington, D.C.",Writer for New York magazine. jbchait@gmail.com; a no-talent illiterate hack -- Donald Trump
koblin,John Koblin,140,12141,675,Brooklyn,"Styles reporter, The New York Times. john.koblin [at] http://t.co/zGJ4T9rCnp"
FrancesRobles,Frances Robles,140,5657,2416,"Miami, FL","New York Times correspondent for Florida, the Caribbean and Central America."
davidjoachim,"David Joachim, NYT",140,5179,1508,"Washington, D.C.","Assistant Washington editor, @nytimes. Contributor, First Draft. Lecturer, GWU. Queens native. Posting what I'm reading. No need to thank me."
OnThisDayNYT,New York Times OTD,140,2139,2300,,Front pages of The New York Times from this day in history.
samanthastorey,Samantha Storey,140,1714,1301,"Brooklyn, N.Y.","Senior Staff Editor, National, @nytimes. Packed lunch expert. Say hi: samantha [dot] storey [@] http://t.co/Cro9lzlrkH"
Medium,Medium,139,1075949,133,"San Francisco, CA, US",Everyone’s stories and ideas
HowardKurtz,HowardKurtz,139,134091,172,Washington D.C.,"Media guy, Fox News host and commentator, author, ex-ink-stained wretch"
CJR,CJR,139,58486,2609,"New York, NY","Monitoring the press, tracking the evolving media business & encouraging excellence in journalism since 1961."
dougmillsnyt,Doug Mills,139,26197,503,"Washington, DC",
mattapuzzo,Matt Apuzzo,139,11731,793,"Washington, DC","People do things. I tell others about it. I don't actually do the things. What I do, though, I do for the NYT. Before that, AP."
michikokakutani,Michiko Kakutani,139,9127,905,"New York, NY","chief book critic, The New York Times"
nkulish,Nicholas Kulish,139,4621,1059,New York,"Nicholas Kulish is a writer and correspondent for The New York Times. He is the author of The Eternal Nazi, published by Doubleday in spring 2014."
nytimesarts,New York Times Arts,138,1316473,81,"New York, NY",Arts and entertainment news from The New York Times.
thedailybeast,The Daily Beast,138,766359,759,,"Scoops, Scandals and Secret Worlds"
,,,,,,
Source: TWIANGULATE.COM (C) 2015,,,,,,
Related to: http://twiangulate.com/blog/remembering-david-carr,,,,,,
"For more information or @ccounts beyond the top 300, write info@twiangulate.com",,,,,,
